# Commonly used R package exports — static completion for pkg::fun
# Format: package_name\tfunction_name\targument_signature
# dplyr
dplyr	filter	.data, ..., .by, .preserve
dplyr	mutate	.data, ..., .by, .keep
dplyr	select	.data, ..., .drop
dplyr	summarise	.data, ..., .by, .groups
dplyr	summarize	.data, ..., .by, .groups
dplyr	arrange	.data, ..., .by
dplyr	rename	.data, ..., .by
dplyr	group_by	.data, ..., .add, .drop
dplyr	ungroup	x, ...
dplyr	distinct	.data, ..., .keep_all
dplyr	count	x, ..., wt, sort, name
dplyr	tally	x, wt, sort, name
dplyr	slice	.data, ..., .by, .preserve
dplyr	slice_head	.data, ..., n, prop, by
dplyr	slice_tail	.data, ..., n, prop, by
dplyr	slice_sample	.data, ..., n, prop, weight_by, replace, by
dplyr	join	(generic — use inner_join, left_join, etc.)
dplyr	inner_join	x, y, by, copy, suffix, keep, ...
dplyr	left_join	x, y, by, copy, suffix, keep, ...
dplyr	right_join	x, y, by, copy, suffix, keep, ...
dplyr	full_join	x, y, by, copy, suffix, keep, ...
dplyr	semi_join	x, y, by, copy, ...
dplyr	anti_join	x, y, by, copy, ...
dplyr	bind_rows	..., .id
dplyr	bind_cols	..., .name_repair
dplyr	pull	.data, var, name, ...
dplyr	relocate	.data, ..., .before, .after
dplyr	across	.cols, .fns, ..., .names, .unpack
dplyr	if_else	condition, true, false, missing
dplyr	case_when	...
dplyr	recode	x, ..., .default, .missing
dplyr	mutate_across	.cols, .fns, ..., .names
# tidyr
tidyr	pivot_longer	data, cols, names_to, values_to, values_drop_na
tidyr	pivot_wider	data, names_from, values_from, id_cols, values_fill, values_fn
tidyr	separate	data, col, into, sep, remove, convert
tidyr	unite	data, col, ..., sep, remove, na.rm
tidyr	drop_na	data, ...
tidyr	fill	data, ..., .direction
tidyr	replace_na	data, replace
tidyr	complete	data, ..., fill, explicit
tidyr	expand	data, ..., nesting, name_repair
tidyr	nesting	...
tidyr	crossing	...
# ggplot2
ggplot2	ggplot	data, mapping, ..., environment
ggplot2	aes	x, y, ..., colour, fill, linetype, shape, size, alpha, group
ggplot2	geom_point	mapping, data, ..., na.rm, show.legend
ggplot2	geom_line	mapping, data, ..., na.rm, show.legend
ggplot2	geom_bar	mapping, data, ..., stat, position, ..., na.rm
ggplot2	geom_histogram	mapping, data, ..., bins, binwidth, na.rm, show.legend
ggplot2	geom_boxplot	mapping, data, ..., na.rm, show.legend, outlier.colour
