# Built-in R dataset schemas — used for static column completion
# Format: dataset_name\tcolumn_name\tcolumn_type
iris	Sepal.Length	double
iris	Sepal.Width	double
iris	Petal.Length	double
iris	Petal.Width	double
iris	Species	factor
mtcars	mpg	double
mtcars	cyl	double
mtcars	disp	double
mtcars	hp	double
mtcars	drat	double
mtcars	wt	double
mtcars	qsec	double
mtcars	vs	double
mtcars	am	double
mtcars	gear	double
mtcars	carb	double
cars	speed	double
cars	dist	double
airquality	Ozone	integer
airquality	Solar.R	integer
airquality	Wind	double
airquality	Temp	integer
airquality	Month	integer
airquality	Day	integer
faithful	eruptions	double
faithful	waiting	integer
PlantGrowth	weight	double
PlantGrowth	group	factor
ToothGrowth	len	double
ToothGrowth	supp	factor
ToothGrowth	dose	double
CO2	Plant	ordered_factor
CO2	Type	factor
CO2	Treatment	factor
CO2	conc	double
CO2	uptake	double
ChickWeight	weight	integer
ChickWeight	Time	integer
ChickWeight	Chick	ordered_factor
ChickWeight	Diet	factor
trees	Girth	double
trees	Height	double
trees	Volume	double
USArrests	Murder	double
USArrests	Assault	integer
USArrests	UrbanPop	integer
USArrests	Rape	double
swiss	Fertility	double
swiss	Agriculture	double
swiss	Examination	integer
swiss	Education	integer
swiss	Catholic	double
swiss	Infant.Mortality	double
longley	GNP.deflator	double
longley	GNP	double
longley	Unemployed	double
longley	Armed.Forces	double
longley	Population	double
longley	Year	integer
longley	Employed	double
attitude	rating	integer
attitude	complaints	integer
attitude	privileges	integer
attitude	learning	integer
attitude	raises	integer
attitude	critical	integer
attitude	advance	integer
women	height	double
women	weight	double
pressure	temperature	double
pressure	pressure	double
BOD	Time	integer
BOD	demand	double
Indometh	Subject	ordered_factor
Indometh	time	double
Indometh	conc	double
Theoph	Subject	ordered_factor
Theoph	Wt	double
Theoph	Dose	double
Theoph	Time	double
Theoph	conc	double
Orange	Tree	ordered_factor
Orange	age	integer
Orange	circumference	double
Loblolly	height	double
Loblolly	age	integer
Loblolly	Seed	ordered_factor
Puromycin	conc	double
Puromycin	rate	double
Puromycin	state	factor
LifeCycleSavings	sr	double
LifeCycleSavings	pop15	double
LifeCycleSavings	pop75	double
LifeCycleSavings	dpi	double
LifeCycleSavings	ddpi	double
quakes	lat	double
quakes	long	double
quakes	depth	integer
quakes	mag	double
quakes	stations	integer
rock	area	integer
rock	peri	double
rock	shape	double
rock	perm	double
attenu	event	integer
attenu	mag	double
attenu	station	factor
attenu	dist	double
attenu	accel	double
anscombe	x1	double
anscombe	x2	double
anscombe	x3	double
anscombe	x4	double
anscombe	y1	double
anscombe	y2	double
anscombe	y3	double
anscombe	y4	double
diamonds	carat	double
diamonds	cut	ordered_factor
diamonds	color	ordered_factor
diamonds	clarity	ordered_factor
diamonds	depth	double
diamonds	table	double
diamonds	price	integer
diamonds	x	double
diamonds	y	double
diamonds	z	double
mpg	manufacturer	character
mpg	model	character
mpg	displ	double
mpg	year	integer
mpg	cyl	integer
mpg	trans	character
mpg	drv	character
mpg	cty	integer
mpg	hwy	integer
mpg	fl	character
mpg	class	character
msleep	name	character
msleep	genus	character
msleep	vore	character
msleep	order	character
msleep	conservation	character
msleep	sleep_total	double
msleep	sleep_rem	double
msleep	sleep_cycle	double
msleep	awake	double
msleep	brainwt	double
msleep	bodywt	double
starwars	name	character
starwars	height	integer
starwars	mass	double
starwars	hair_color	character
starwars	skin_color	character
starwars	eye_color	character
starwars	birth_year	double
starwars	sex	character
starwars	gender	character
starwars	homeworld	character
starwars	species	character
starwars	films	list
starwars	vehicles	list
starwars	starships	list
storms	name	character
storms	year	integer
storms	month	integer
storms	day	integer
storms	hour	integer
storms	lat	double
storms	long	double
storms	status	character
storms	category	integer
storms	wind	integer
storms	pressure	integer
storms	ts_diameter	double
storms	hu_diameter	double
economics	date	date
economics	pce	double
economics	pop	integer
economics	psavert	double
economics	uempmed	double
economics	unemployment	integer
